topology,triadic,noise_level,composite
phi_pentagon,False,0.0,0.6089
phi_pentagon,False,0.15,0.5726
phi_pentagon,False,0.3,0.5363
phi_pentagon,True,0.0,0.7543
phi_pentagon,True,0.15,0.7168
phi_pentagon,True,0.3,0.6814
ring,False,0.0,0.5221
ring,False,0.15,0.4843
ring,False,0.3,0.4481
ring,True,0.0,0.6632
ring,True,0.15,0.6254
ring,True,0.3,0.5881
k5_full,False,0.0,0.5419
k5_full,False,0.15,0.5031
k5_full,False,0.3,0.4652
k5_full,True,0.0,0.6823
k5_full,True,0.15,0.6401
k5_full,True,0.3,0.5981
star,False,0.0,0.4252
star,False,0.15,0.3721
star,False,0.3,0.3178
star,True,0.0,0.5594
star,True,0.15,0.5052
star,True,0.3,0.4498
